sh /tmp/rs.sh; echo RS_DONE_$?
=== trace size ===
  818 /root/deskmon.csv
=== is anything still alive? ===
  Xfbdev       -
  jwm          -
  st           -
  xfiles       -
  xcalc        -
  s31-deskmon  206
=== oom kills ===
  [ 3471.290719] InputThread invoked oom-killer: gfp_mask=0x140cca(GFP_HIGHUSER_MOVABLE|__GFP_COMP), order=0, oom_score_adj=0
  [ 3471.300459] oom-kill:constraint=CONSTRAINT_NONE,nodemask=(null),task=Xfbdev,pid=187,uid=0
  [ 3471.300744] Out of memory: Killed process 187 (Xfbdev) total-vm:15668kB, anon-rss:64kB, file-rss:484kB, shmem-rss:0kB, UID:0 pgtables:28kB oom_score_adj:0
=== BEGIN_CSV ===
uptime,xdata_kb,xrss_kb,xswap_kb,xmajflt,xcpu_ticks,updates,memavail_kb,swap_kb,jwm_kb,st_kb,xfiles_kb,xcalc_kb
107,4656,2268,1980,29,691,3,1880,3064,304,752,620,
128,7924,3108,4316,1501,1201,43,3260,7864,112,8,8,
135,7924,3108,4316,1501,1210,55,2420,7864,100,8,8,
143,7924,3108,4316,1501,1220,26,2780,7864,100,8,8,
151,7924,3108,4316,1501,1230,25,3140,7864,100,8,8,
159,7924,3108,4316,1501,1240,25,2996,7864,100,8,8,
167,7924,3108,4316,1501,1249,25,2928,7864,100,8,8,
174,7924,3108,4316,1501,1259,25,3032,7864,100,8,8,
182,7924,3108,4316,1501,1269,25,3020,7864,100,8,8,
190,7924,3108,4316,1501,1279,25,3012,7864,100,8,8,
198,7924,3108,4316,1501,1288,25,2916,7864,100,8,8,
205,7924,3108,4316,1501,1297,25,3068,7864,100,8,8,
213,7924,3108,4316,1501,1307,25,3064,7864,100,8,8,
221,7924,3108,4316,1501,1317,25,3008,7864,100,8,8,
229,7924,3108,4316,1501,1326,24,3044,7864,100,8,8,
236,7924,3108,4316,1501,1337,25,2884,7864,100,8,8,
244,7924,3108,4316,1501,1346,25,2944,7864,100,8,8,
252,7924,3108,4316,1501,1356,25,2940,7864,100,8,8,
260,7924,3108,4316,1501,1365,25,2944,7864,100,8,8,
267,7924,3108,4316,1501,1375,25,2988,7864,100,8,8,
275,7924,3108,4316,1501,1385,25,3004,7864,100,8,8,
283,7924,3108,4316,1501,1395,25,2904,7864,100,8,8,
291,7924,3108,4316,1501,1405,25,2976,7864,100,8,8,
298,7924,3108,4316,1501,1414,25,2904,7864,100,8,8,
306,7924,3108,4316,1501,1424,25,2872,7864,100,8,8,
314,7924,3108,4316,1501,1433,25,2848,7864,100,8,8,
321,7924,3108,4316,1501,1443,25,2924,7864,100,8,8,
329,7924,3108,4316,1501,1453,25,2628,7864,100,8,8,
337,7924,3108,4316,1501,1462,25,2772,7864,100,8,8,
344,7924,3108,4316,1501,1472,25,2796,7864,100,8,8,
352,7924,3108,4316,1501,1481,24,2772,7864,100,8,8,
360,7924,3108,4316,1501,1491,25,2804,7864,100,8,8,
368,7924,3108,4316,1501,1502,25,2772,7864,100,8,8,
375,7924,3108,4316,1501,1511,25,2864,7864,100,8,8,
383,7924,3108,4316,1501,1521,25,2784,7864,100,8,8,
391,7924,3108,4316,1501,1531,24,2760,7864,100,8,8,
398,7924,3108,4316,1501,1540,25,2852,7864,100,8,8,
406,7924,3108,4316,1501,1550,25,2768,7864,100,8,8,
414,7924,3108,4316,1501,1558,25,2752,7864,100,8,8,
421,7924,3108,4316,1501,1569,25,2716,7864,100,8,8,
429,7924,3108,4316,1501,1579,24,2812,7864,100,8,8,
437,7924,3108,4316,1501,1588,25,2716,7864,100,8,8,
444,7924,3108,4316,1501,1597,25,2684,7864,100,8,8,
452,7924,3108,4316,1501,1606,24,2788,7864,100,8,8,
460,7924,3108,4316,1501,1617,25,2684,7864,100,8,8,
467,7924,3108,4316,1501,1626,25,2704,7864,100,8,8,
475,7924,3108,4316,1501,1635,25,2756,7864,100,8,8,
483,7924,3108,4316,1501,1645,24,2680,7864,100,8,8,
490,7924,3108,4316,1501,1655,25,2720,7864,100,8,8,
498,7924,3108,4316,1501,1665,25,2728,7864,100,8,8,
506,7924,3108,4316,1501,1674,25,2696,7864,100,8,8,
513,7924,3108,4316,1501,1684,24,2644,7864,100,8,8,
521,7924,3108,4316,1501,1694,25,2592,7864,100,8,8,
529,7924,3108,4316,1501,1704,25,2712,7864,100,8,8,
536,7924,3108,4316,1501,1714,25,2576,7864,100,8,8,
544,7924,3108,4316,1501,1724,24,2688,7864,100,8,8,
552,7924,3108,4316,1501,1733,25,2624,7864,100,8,8,
559,7924,3108,4316,1501,1743,25,2600,7864,100,8,8,
567,7924,3108,4316,1501,1753,25,2588,7864,100,8,8,
575,7924,3108,4316,1501,1763,24,2588,7864,100,8,8,
582,7924,3108,4316,1501,1772,25,2584,7864,100,8,8,
590,7924,3108,4316,1501,1782,25,2632,7864,100,8,8,
598,7924,3108,4316,1501,1792,25,2620,7864,100,8,8,
606,7924,3108,4316,1501,1802,24,2500,7864,100,8,8,
613,7924,3108,4316,1501,1812,25,2496,7864,100,8,8,
621,7924,3108,4316,1501,1822,25,2524,7864,100,8,8,
629,7924,3108,4316,1501,1831,25,2472,7864,100,8,8,
636,7924,3108,4316,1501,1841,25,2592,7864,100,8,8,
644,7924,3108,4316,1501,1850,24,2500,7864,100,8,8,
652,7924,3108,4316,1501,1860,25,2464,7864,100,8,8,
659,7924,3108,4316,1501,1870,25,2496,7864,100,8,8,
667,7924,3108,4316,1501,1880,24,2556,7864,100,8,8,
675,7924,3108,4316,1501,1890,25,2444,7864,100,8,8,
682,7924,3108,4316,1501,1900,25,2536,7864,100,8,8,
690,7888,3116,4272,1504,1910,25,2464,7836,100,8,8,
698,7888,3116,4272,1504,1920,24,2520,7836,100,8,8,
705,7888,3116,4272,1504,1930,25,2504,7836,100,8,8,
713,7888,3116,4272,1504,1940,25,2468,7836,100,8,8,
721,7888,3116,4272,1504,1949,25,2388,7836,100,8,8,
728,7888,3116,4272,1504,1960,24,2352,7836,100,8,8,
736,7888,3116,4272,1504,1969,25,2472,7836,100,8,8,
744,7888,3116,4272,1504,1978,25,2464,7836,100,8,8,
751,7888,3116,4272,1504,1987,24,2384,7836,100,8,8,
759,7888,3116,4272,1504,1998,25,2364,7836,100,8,8,
767,7888,3116,4272,1504,2007,25,2432,7836,100,8,8,
774,7888,3116,4272,1504,2017,25,2420,7836,100,8,8,
782,7888,3116,4272,1504,2026,24,2416,7836,100,8,8,
790,7888,3116,4272,1504,2036,25,2400,7836,100,8,8,
797,7888,3116,4272,1504,2046,25,2312,7836,100,8,8,
805,7888,3116,4272,1504,2055,25,2316,7836,100,8,8,
813,7888,3116,4272,1504,2065,25,2376,7836,100,8,8,
821,7888,3116,4272,1504,2074,24,2264,7836,100,8,8,
828,7888,3116,4272,1504,2084,25,2364,7836,100,8,8,
836,7888,3116,4272,1504,2094,25,2360,7836,100,8,8,
844,7888,3116,4272,1504,2103,25,2280,7836,100,8,8,
851,7888,3116,4272,1504,2113,24,2276,7836,100,8,8,
859,7888,3116,4272,1504,2122,25,2324,7836,100,8,8,
867,7888,3116,4272,1504,2133,25,2236,7836,100,8,8,
874,7888,3116,4272,1504,2142,25,2240,7836,100,8,8,
882,7888,3116,4272,1504,2152,24,2300,7836,100,8,8,
890,7888,3116,4272,1504,2162,25,2188,7836,100,8,8,
897,7888,3116,4272,1504,2172,25,2180,7836,100,8,8,
905,7888,3116,4272,1504,2181,25,2208,7836,100,8,8,
913,7888,3116,4272,1504,2191,24,2212,7836,100,8,8,
920,7888,3116,4272,1504,2200,25,2208,7836,100,8,8,
928,7888,3116,4272,1504,2209,25,2260,7836,100,8,8,
936,7888,3116,4272,1504,2219,25,2128,7836,100,8,8,
943,7888,3116,4272,1504,2229,24,2240,7836,100,8,8,
951,7888,3116,4272,1504,2239,25,2164,7836,100,8,8,
959,7888,3116,4272,1504,2248,25,2104,7836,100,8,8,
966,7888,3116,4272,1504,2258,24,2220,7836,100,8,8,
974,7888,3116,4272,1504,2268,25,2124,7836,100,8,8,
982,7888,3116,4272,1504,2277,25,2144,7836,100,8,8,
989,7888,3116,4272,1504,2287,25,2216,7836,100,8,8,
997,7888,3116,4272,1504,2296,25,2152,7836,100,8,8,
1005,7888,3116,4272,1504,2307,24,2096,7836,100,8,8,
1012,7888,3116,4272,1504,2317,25,2140,7836,100,8,8,
1020,7888,3116,4272,1504,2325,25,2152,7836,100,8,8,
1028,7888,3116,4272,1504,2335,25,2220,7836,100,8,8,
1035,7888,3116,4272,1504,2346,24,2140,7836,100,8,8,
1043,7888,3116,4272,1504,2355,25,2140,7836,100,8,8,
1051,7888,3116,4272,1504,2364,25,2148,7836,100,8,8,
1058,7888,3116,4272,1504,2373,25,2224,7836,100,8,8,
1066,7888,3116,4272,1504,2383,24,2224,7836,100,8,8,
1074,7888,3116,4272,1504,2393,25,2112,7836,100,8,8,
1082,7888,3116,4272,1504,2403,25,2280,7836,100,8,8,
1089,7888,3116,4272,1504,2413,25,2264,7836,100,8,8,
1097,7888,3116,4272,1504,2422,24,2100,7836,100,8,8,
1105,7888,3116,4272,1504,2433,25,2132,7836,100,8,8,
1112,7888,3116,4272,1504,2441,25,2092,7836,100,8,8,
1120,7888,3116,4272,1504,2452,25,2108,7836,100,8,8,
1128,7888,3116,4272,1504,2461,24,2148,7836,100,8,8,
1135,7888,3116,4272,1504,2471,25,2212,7836,100,8,8,
1143,7888,3116,4272,1504,2481,25,2256,7836,100,8,8,
1151,7888,3116,4272,1504,2490,25,2148,7836,100,8,8,
1158,7888,3116,4272,1504,2500,24,2220,7836,100,8,8,
1166,7888,3116,4272,1504,2510,25,2092,7836,100,8,8,
1174,7888,3116,4272,1504,2519,25,2108,7836,100,8,8,
1181,7888,3116,4272,1504,2528,25,2204,7836,100,8,8,
1189,7888,3116,4272,1504,2538,24,2100,7836,100,8,8,
1197,7888,3116,4272,1504,2548,25,2216,7836,100,8,8,
1204,7888,3116,4272,1504,2557,25,2100,7836,100,8,8,
1212,7888,3116,4272,1504,2567,25,2212,7836,100,8,8,
1220,7888,3116,4272,1504,2576,24,2132,7836,100,8,8,
1227,7888,3116,4272,1504,2586,25,2144,7836,100,8,8,
1235,7888,3116,4272,1504,2596,25,2132,7836,100,8,8,
1243,7888,3116,4272,1504,2606,25,2132,7836,100,8,8,
1250,7888,3116,4272,1504,2615,24,2088,7836,100,8,8,
1258,7888,3116,4272,1504,2625,25,2156,7836,100,8,8,
1266,7888,3116,4272,1504,2635,25,2212,7836,100,8,8,
1273,7888,3116,4272,1504,2645,25,2096,7836,100,8,8,
1281,7888,3116,4272,1504,2653,24,2096,7836,100,8,8,
1289,7888,3116,4272,1504,2664,25,2112,7836,100,8,8,
1296,7888,3116,4272,1504,2673,25,2144,7836,100,8,8,
1304,7888,3116,4272,1504,2683,25,2132,7836,100,8,8,
1312,7888,3116,4272,1504,2692,24,2116,7836,100,8,8,
1319,7888,3116,4272,1504,2702,25,2204,7836,100,8,8,
1327,7888,3116,4272,1504,2712,25,2272,7836,100,8,8,
1335,7888,3116,4272,1504,2721,25,2100,7836,100,8,8,
1343,7888,3116,4272,1504,2731,24,2080,7836,100,8,8,
1350,7888,3116,4272,1504,2740,25,2204,7836,100,8,8,
1358,7888,3116,4272,1504,2750,25,2088,7836,100,8,8,
1366,7888,3116,4272,1504,2760,24,2104,7836,100,8,8,
1373,7888,3116,4272,1504,2769,25,2204,7836,100,8,8,
1381,7888,3116,4272,1504,2779,25,2208,7836,100,8,8,
1389,7888,3116,4272,1504,2789,25,2200,7836,100,8,8,
1396,7888,3116,4272,1504,2798,24,2104,7836,100,8,8,
1404,7888,3116,4272,1504,2809,25,2200,7836,100,8,8,
1412,7888,3012,4376,1504,2819,25,2572,7836,100,8,8,
1420,7888,3012,4376,1504,2828,25,2512,7836,100,8,8,
1427,7888,3012,4376,1504,2837,25,2592,7836,100,8,8,
1435,7888,3012,4376,1504,2847,25,2488,7836,100,8,8,
1443,7888,3012,4376,1504,2856,24,2556,7836,100,8,8,
1450,7888,3012,4376,1504,2866,25,2468,7836,100,8,8,
1458,7888,3012,4376,1504,2876,25,2476,7836,100,8,8,
1466,7888,3012,4376,1504,2886,25,2504,7836,100,8,8,
1473,7888,3012,4376,1504,2896,24,2564,7836,100,8,8,
1481,7888,3012,4376,1504,2905,25,2444,7836,100,8,8,
1489,7888,3012,4376,1504,2915,25,2452,7836,100,8,8,
1496,7888,3012,4376,1504,2924,25,2516,7836,100,8,8,
1504,7888,3012,4376,1504,2933,24,2536,7836,100,8,8,
1512,7888,3012,4376,1504,2944,25,2520,7836,100,8,8,
1519,7888,3012,4376,1504,2953,25,2396,7836,100,8,8,
1527,7888,3012,4376,1504,2962,24,2432,7836,100,8,8,
1535,7888,3012,4376,1504,2972,25,2508,7836,100,8,8,
1542,7888,3012,4376,1504,2982,25,2468,7836,100,8,8,
1550,7888,3012,4376,1504,2991,25,2484,7836,100,8,8,
1558,7888,3012,4376,1504,3001,25,2364,7836,100,8,8,
1565,7888,3012,4376,1504,3010,24,2356,7836,100,8,8,
1573,7888,3012,4376,1504,3021,25,2468,7836,100,8,8,
1581,7888,3012,4376,1504,3030,25,2332,7836,100,8,8,
1588,7888,3012,4376,1504,3039,25,2448,7836,100,8,8,
1596,7888,3012,4376,1504,3049,24,2344,7836,100,8,8,
1604,7888,3012,4376,1504,3059,25,2316,7836,100,8,8,
1611,7888,3012,4376,1504,3068,25,2380,7836,100,8,8,
